dataset_name,kernel,C,training_time,test_time,accuracy,precision,recall,f1_score,conf_matrix
mcdonald,linear,0.1,1.6989612579345703,0.5997316837310791,0.9113016095171449,0.9246467817896389,0.9168742216687422,0.9207440987963108,"[[2264  240]
 [ 267 2945]]"
mcdonald,linear,0.5,1.6163523197174072,0.48734354972839355,0.9191742477256823,0.9302252816020025,0.9255915317559154,0.9279026217228464,"[[2281  223]
 [ 239 2973]]"
mcdonald,linear,1.0,2.0648016929626465,0.5541317462921143,0.9216235129461162,0.932686286787727,0.9274595267745953,0.9300655635341867,"[[2289  215]
 [ 233 2979]]"
mcdonald,linear,5.0,4.141089200973511,0.4863314628601074,0.9235479356193143,0.9307668425954673,0.9333748443337484,0.9320690191201617,"[[2281  223]
 [ 214 2998]]"
mcdonald,linear,10.0,7.398911952972412,0.514052152633667,0.9223233030090973,0.9284829721362229,0.9336861768368617,0.9310773051847252,"[[2273  231]
 [ 213 2999]]"
mcdonald,linear,50.0,26.66373300552368,0.43990373611450195,0.9078026592022393,0.912949861581052,0.9240348692403487,0.9184589200061891,"[[2221  283]
 [ 244 2968]]"
mcdonald,linear,100.0,51.17407774925232,0.40171074867248535,0.9022043386983905,0.9055334760012229,0.9221668742216688,0.9137744871201604,"[[2195  309]
 [ 250 2962]]"
imdb,linear,0.1,18.41624402999878,8.91137433052063,0.8897,0.8747836122331217,0.9096,0.8918521423668987,"[[4349 651]
 [452 4548]"
imdb,linear,0.5,18.570123195648193,7.430014610290527,0.9025,0.8951502061653249,0.9118,0.9033983949271772,"[[4466  534]
 [ 441 4559]]"
imdb,linear,1.0,19.245651483535767,6.985120534896851,0.9048,0.8982683982683982,0.913,0.9055742908153144,"[[4483  517]
 [ 435 4565]]"
imdb,linear,5.0,25.28555655479431,6.622036933898926,0.8939,0.8913173057818399,0.8972,0.8942489783713745,"[[4453  547]
 [ 514 4486]]"
imdb,linear,10.0,29.650482416152954,6.701236963272095,0.8854,0.8835589171974523,0.8878,0.8856743814844373,"[[4415  585]
 [ 561 4439]]"
imdb,linear,50.0,31.393933057785034,8.464857578277588,0.8789,0.8753715078264316,0.8836,0.8794665074151488,"[[4371  629]
 [ 582 4418]]"
imdb,linear,100.0,28.738813161849976,19.608640670776367,0.8789,0.8753715078264316,0.8836,0.8794665074151488,"[[4371  629]
 [ 582 4418]]"
twitter,linear,0.1,5.642926454544067,26.294601678848267,0.763,0.7526902382782475,0.7834,0.7677381419051352,"[[3713 1287]
 [1083 3917]]"
twitter,linear,0.5,5.502981424331665,2.306142568588257,0.7753,0.7719818217743529,0.7814,0.776662359606401,"[[3846 1154]
 [1093 3907]]"
twitter,linear,1.0,12.26439356803894,9.927382230758667,0.7717,0.7724082614798476,0.7704,0.771402823670772,"[[3865 1135]
 [1148 3852]]"
twitter,linear,5.0,15.979625463485718,3.0841224193573,0.7537,0.7586136595310907,0.7442,0.7513377082281676,"[[3816 1184]
 [1279 3721]]"
twitter,linear,10.0,23.71705913543701,5.42435884475708,0.7466,0.7504061738424046,0.739,0.7446594115276098,"[[3771 1229]
 [1305 3695]]"
twitter,linear,50.0,52.28779101371765,1.6851592063903809,0.7267,0.729965510245486,0.7196,0.7247456944304562,"[[3669 1331]
 [1402 3598]]"
twitter,linear,100.0,80.19072914123535,1.7917120456695557,0.7185,0.7218274111675127,0.711,0.7163727959697733,"[[3630 1370]
 [1445 3555]]"
